ped. #,time (s),x (cm),y (cm)
2,10.977743,-293.872,-72.3718
2,11.01111,-289.084,-71.6878
2,11.044477,-284.468,-71.5168
2,11.077844,-279.766,-71.9443
2,11.111211,-274.551,-73.0557
2,11.144578,-269.079,-74.0816
2,11.177945,-263.95,-74.0816
2,11.211312,-258.82,-74.0816
2,11.244679,-253.691,-74.0816
2,11.278046,-248.561,-74.0816
2,11.311413,-243.432,-74.0816
2,11.34478,-238.302,-74.0816
2,11.378147,-233.856,-72.8847
2,11.411514,-228.898,-72.3718
2,11.444881,-225.051,-71.0894
2,11.478248,-220.349,-70.6619
2,11.511615,-215.561,-69.978
2,11.544982,-211.372,-69.3795
2,11.578349,-206.67,-68.9521
2,11.611716,-201.541,-68.9521
2,11.645083,-196.883,-68.4214
2,11.67845,-192.564,-66.8148
2,11.711817,-187.075,-66.0112
2,11.745184,-182.732,-65.5324
2,11.778551,-176.748,-65.5324
2,11.811918,-172.131,-64.8485
2,11.845285,-166.489,-63.8226
2,11.878652,-162.214,-62.9677
2,11.912019,-156.23,-63.8226
2,11.945386,-151.1,-63.8226
2,11.978753,-145.971,-63.8226
2,12.01212,-140.841,-63.8226
2,12.045487,-137.422,-62.9677
2,12.078854,-131.608,-64.1645
2,12.112221,-127.59,-63.3951
2,12.145588,-122.033,-64.6775
2,12.178955,-117.331,-63.3951
2,12.212322,-111.603,-64.1645
2,12.245689,-107.5,-65.5324
2,12.279056,-102.37,-65.5324
2,12.312423,-97.2406,-65.5324
2,12.34579,-91.0851,-64.1645
2,12.379157,-86.9815,-63.8226
2,12.412524,-81.852,-63.8226
2,12.445891,-77.5775,-63.8226
2,12.479258,-72.8754,-61.6853
2,12.512625,-67.3184,-62.1127
2,12.545992,-63.8988,-61.2578
2,12.579359,-58.9403,-61.5998
2,12.612726,-54.0672,-59.9755
2,12.646093,-48.5102,-60.4029
2,12.67946,-43.3807,-60.4029
2,12.712827,-39.4481,-59.377
2,12.746194,-35.0025,-59.035
2,12.779561,-30.215,-58.0092
2,12.812928,-22.0078,-57.8382
2,12.846295,-17.8806,-55.2144
2,12.879662,-14.7081,-55.5365
2,12.913029,-10.0389,-55.2734
2,12.946396,-4.90943,-55.2734
2,12.979763,-0.207381,-55.7009
2,13.01313,4.49467,-55.2734
2,13.046497,10.0516,-55.7009
2,13.079864,14.3262,-55.7009
2,13.113231,19.3571,-55.3392
2,13.146598,24.4866,-55.3392
2,13.179965,28.8598,-55.7009
2,13.213332,35.2717,-56.9832
2,13.246699,40.4012,-56.9832
2,13.280066,45.5307,-56.9832
2,13.313433,50.6602,-56.9832
2,13.3468,54.9348,-56.9832
2,13.380167,60.0643,-56.9832
2,13.413534,65.1938,-56.9832
2,13.446901,69.4684,-56.9832
2,13.480268,74.5979,-56.1283
2,13.513635,79.2671,-55.5365
2,13.547002,84.002,-55.2734
2,13.580369,88.3424,-54.7473
2,13.613736,93.4061,-55.2734
2,13.647103,98.1936,-55.1024
2,13.68047,103.238,-54.8459
2,13.713837,107.512,-53.991
2,13.747204,112.642,-53.991
2,13.780571,119.054,-53.5636
2,13.813938,124.183,-53.5636
2,13.847305,128.589,-52.5114
2,13.880672,134.442,-52.7087
2,13.914039,139.144,-52.2812
2,13.947406,144.57,-52.9059
2,13.980773,149.107,-52.5114
2,14.01414,153.316,-53.0375
2,14.047507,158.643,-53.169
2,14.080874,163.338,-53.2216
2,14.114241,168.639,-55.2734
2,14.147608,173.084,-54.9314
2,14.180975,177.872,-55.6154
2,14.214342,182.383,-56.4571
2,14.247709,187.447,-56.9832
2,14.281076,191.722,-56.9832
2,14.314443,197.706,-57.8382
2,14.34781,202.836,-58.6931
2,14.381177,207.11,-58.6931
2,14.414544,212.24,-59.548
2,14.447911,217.369,-59.548
2,14.481278,222.499,-59.548
2,14.514645,227.201,-59.1205
2,14.548012,231.903,-58.6931
2,14.581379,237.032,-58.6931
2,14.614746,241.478,-59.206
2,14.648113,245.582,-58.6931
2,14.68148,250.54,-58.3511
2,14.714847,255.157,-59.206
2,14.748214,259.26,-58.6931
2,14.781581,264.192,-58.5615
2,14.814948,269.519,-58.6931
2,14.848315,274.649,-58.6931
2,14.881682,279.351,-57.4107
2,14.915049,284.48,-57.4107
2,14.948416,289.61,-57.4107
2,14.981783,294.312,-56.9832
2,15.01515,299.441,-57.8382
2,15.048517,304.4,-57.4962
2,15.081884,308.845,-57.8382
2,15.115251,313.975,-58.6931
2,15.148618,318.25,-58.6931
2,15.181985,323.037,-59.377
2,15.215352,327.654,-59.548
2,15.248719,332.783,-60.4029
2,15.282086,337.913,-60.4029
2,15.315453,343.042,-60.4029
2,15.34882,348.172,-62.1127
